번호,상세영업상태명,인허가일자,폐업일자,시설총규모,소재지전체주소,사업장명,업태구분명,좌표정보(X),좌표정보(Y),영업장주변구분명,lon,lat
1733567,폐업,19990819,20100101,57.97,경기도 포천시 화현면 명덕리 109-2번지 ,명덕산장,한식,224408.0782,484587.6182,,127.2781628,37.863566
1759228,폐업,19951227,20100104,25.82,경상남도 창원시 마산회원구 회원동 65-37번지 ,동큐치킨,통닭(치킨),343475.1846,192123.1886,주택가주변,128.5765987,35.2181165
1653627,폐업,20071017,20100104,40,경상남도 김해시 무계동 156-5번지 대동상가 121호 ,동걸분식,분식,365064.6119,190741.3751,,128.8133405,35.2023514
1515347,폐업,19890814,20100104,29.52,경상북도 포항시 남구 구룡포읍 구룡포리 459-42번지 ,방울식당,한식,430451.7167,279818.8309,,129.5561748,35.99154003
1695957,폐업,19821229,20100104,0,경상남도 합천군 합천읍 합천리 790-1번지 1층 ,합천경찰서 구내식당,한식,304905.6464,230254.56,기타,128.1579751,35.56650214
1590027,폐업,20080317,20100104,97.6,경상북도 경산시 중방동 72-6번지 ,정인식당,한식,,,기타,inf,inf
1593851,폐업,20070412,20100104,56,경상북도 경산시 중방동 105-47번지 ,야호오리묵자,한식,357145.3648,260522.7322,기타,128.7399221,35.83227306
1514245,폐업,20041013,20100104,40,경상북도 포항시 북구 용흥동 69-2번지 ,쉼터,호프/통닭,412472.3988,284495.5132,주택가주변,129.3582222,36.03773067
1759501,폐업,19950701,20100104,8.21,경상남도 창원시 진해구 태평동 14-8번지 ,치킨매니아,한식,351141.9803,184224.1421,,128.6593266,35.14582363
1672145,폐업,20051228,20100104,56.7,경상남도 양산시 평산동 606번지 ,덕계식당,한식,394713.5799,211309.7018,,129.1435988,35.38230391
1685971,폐업,19930928,20100104,118.54,경상남도 고성군 고성읍 성내리 57-1번지 ,주막,호프/통닭,320815.0195,164643.1559,기타,128.323782,34.97346973
1753820,폐업,19821015,20100104,30.3,경상남도 창원시 마산합포구 산호동 30-1번지 ,모두랑찜,중국식,343991.1326,192131.1926,,128.5822649,35.21811477
1753673,폐업,19660617,20100104,68.25,경상남도 창원시 마산합포구 장군동4가 26번지 ,통일식당,한식,,,,inf,inf
1517981,폐업,20050125,20100104,182.85,"경상북도 포항시 남구 이동 658-7번지 (1,2층) ",마실(이동점),호프/통닭,410782.3979,283226.7503,기타,129.3391477,36.02667281
1620911,폐업,19970108,20100104,63.32,경상남도 진주시 상대동 302-11번지 번지(2층) ,테스,경양식,301255.0118,187273.2889,,128.1123923,35.17955518
1508808,폐업,19970630,20100104,49.17,전라남도 완도군 노화읍 이포리 820-1번지 ,동방식당,회집,160243.2846,75547.56878,기타,126.569586,34.17676604
1547095,폐업,20070713,20100104,179.5,경상북도 김천시 신음동 713-1번지 ,박대감오리마을,한식,,,기타,inf,inf
1661200,폐업,20061013,20100104,253.47,경상남도 거제시 일운면 소동리 102-2   번지 (2층) ,캔들하우스,한식,,,기타,inf,inf
1549518,폐업,20061201,20100104,67.42,경상북도 안동시 안기동 178-3번지 ,행운포차,호프/통닭,353721.9418,342822.9688,,128.7181664,36.57417176
1607374,폐업,20041005,20100104,87.75,경상북도 칠곡군 북삼읍 인평리 63-2번지 ,보석가든,한식,320990.4918,286572.2954,,128.3438764,36.07209772
1608528,폐업,20050712,20100105,90.78,경상북도 칠곡군 북삼읍 인평리 -번지 오태토지구획정리지구 27B 4L ,삼추정,한식,,,,inf,inf
1562019,폐업,19981230,20100105,33.51,경상북도 구미시 원평동 409-14번지 ,산내들분식,분식,319576.4908,292461.2232,,128.3290762,36.12532997
1565392,폐업,20081007,20100105,123.9,경상북도 구미시 광평동 76-7번지 ,용정흑돼지,한식,322834.8004,290534.5064,,128.3649607,36.10756459
1559004,폐업,20010724,20100105,129.38,경상북도 구미시 형곡동 143-5번지 외 2필지 101호 ,불닭형곡점,한식,320376.6969,291170.2548,,128.3377657,36.11359998
1759028,폐업,19941220,20100105,99.6,경상남도 창원시 성산구 사파동 2번지 미남빌딩 지하 102호 ,목화레스토랑,한식,354638.9962,193149.5705,,128.6993575,35.22570667
1647671,폐업,20040322,20100105,154.9,경상남도 김해시 동상동 898-1번지 ,자유시인,경양식,371297.1571,194507.7387,기타,128.8825292,35.23523786
1708312,폐업,20030217,20100105,86.4,경기도 화성시 장지동 711-2번지 ,블랙홀,한식,210475.5609,405951.8267,,127.1187187,37.15532667
1651589,폐업,20000114,20100105,65.31,경상남도 김해시 내동 1108-9번지 ,태백산맥,한식,369329.5544,194625.8437,,128.8609493,35.23663574
1577622,폐업,20031106,20100105,24,경상북도 영천시 야사동 192-2번지 새야사시장 A동 106호,곤드레만드레 ,호프/통닭,375638.3563,276563.1641,아파트지역,128.9480186,35.97361907
1556643,폐업,20040719,20100105,22.32,경상북도 구미시 봉곡동 294-3번지 ,여우비,한식,318341.4309,295300.5863,주택가주변,128.3157868,36.151063
1782197,폐업,20050902,20100105,30.14,세종특별자치시 조치원읍 신흥리 393번지 신흥주공@상가 105호(1층) ,또래오래,호프/통닭,225856.1078,343697.2185,,127.2897457,36.59406319
1767620,폐업,20011109,20100105,44.48,경상남도 창원시 마산합포구 상남동 230-30번지 ,남원골추어탕,탕류(보신용),343482.2755,191172.3014,유흥업소밀집지역,128.5765111,35.20954795
1581640,폐업,20010403,20100105,27,경상북도 상주시 계산동 496-2번지 ,신사동왕족발,한식,303889.0865,326263.1069,주택가주변,128.1593416,36.43168986
1546285,폐업,19960425,20100105,66.04,경상북도 김천시 교동 385번지 ,일성식육식당,한식,298507.0381,293838.4234,주택가주변,128.0952479,36.14010413
1650274,폐업,19990920,20100105,71.28,경상남도 김해시 삼정동 589-12번지 연화빌라102호 ,제주도야지오겹살,한식,372418.8826,194001.5777,,128.8947395,35.23048602
1657698,폐업,20051121,20100105,115,경상남도 밀양시 내이동 1537-13번지 ,해원,한식,358097.1061,223963.8086,,128.7432801,35.50277593
1621866,폐업,19990805,20100105,57.33,경상남도 진주시 평거동 768-10번지 번지(1층일부) ,우의정,중국식,297124.5666,186444.072,,128.0669576,35.17248968
1514450,폐업,20040819,20100105,59.14,경상북도 포항시 북구 용흥동 144-18번지 ,기별식당,한식,412316.6966,283600.9152,주택가주변,129.3562561,36.02970911
1683870,폐업,20030108,20100105,31.32,경상남도 창녕군 창녕읍 송현리 149-4번지 ,두마리맛나치킨,통닭(치킨),336113.8486,228063.5928,,128.5017582,35.5429689
1687378,폐업,19950710,20100105,113.81,경상남도 남해군 미조면 미조리 555-1번지 ,명동식당,한식,,,,inf,inf
1650755,폐업,19910212,20100105,0,경상남도 김해시 부원동 778-1번지 ,채널이십일,한식,371364.373,194106.6962,,128.8831837,35.23161357
1537839,폐업,20070801,20100105,152.86,경상북도 경주시 천북면 신당리 1399-132번지 ,인천식당,한식,,,,inf,inf
1759184,폐업,19951226,20100105,59.4,경상남도 창원시 마산합포구 신포동2가 121-12번지 ,골포 숯불장어,회집,343404.9247,190049.2333,기타,128.5754666,35.19944007
1683671,폐업,19870521,20100105,19.4,경상남도 창녕군 창녕읍 교하리 120-2번지 ,수정식당,한식,335796.8485,227890.7393,,128.4982347,35.54145494
1547884,폐업,20040130,20100105,44,경상북도 안동시 옥야동 322-10번지 ,명일식당,한식,354316.1783,341530.2621,기타,128.7245438,36.56243216
1656128,폐업,20080423,20100105,67.09,경상남도 밀양시 내일동 623-1번지 ,불촌 두마리치킨,통닭(치킨),358868.2267,222819.5763,,128.7515518,35.49234476
1691007,폐업,20020913,20100106,89.4,경상남도 산청군 산청읍 옥산리 687-1번지 ,랑데뷰,기타,279241.3093,212766.1578,,127.873213,35.41127983
